Notes	Vaccine Type	Vaccine Type Code	Symptoms	Symptoms Code	Events Reported
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	BLADDER CATHETERISATION	10005028	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	BLOOD TEST	10061726	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	BRAIN DEATH	10049054	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	BRAIN INJURY	10067967	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	CHEST X-RAY NORMAL	10008500	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	COMPUTERISED TOMOGRAM NORMAL	10010236	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	CRYING	10011469	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	DEATH	10011906	2
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	ELECTROENCEPHALOGRAM ABNORMAL	10014408	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	EYE MOVEMENT DISORDER	10061129	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	EYE SWELLING	10015967	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	EYELID FUNCTION DISORDER	10061145	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	FEBRILE CONVULSION	10016284	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	GASTROINTESTINAL TUBE INSERTION	10053050	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	GRUNTING	10018762	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	INFLUENZA	10022000	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	LOSS OF CONSCIOUSNESS	10024855	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	LUMBAR PUNCTURE NORMAL	10025002	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	MAGNETIC RESONANCE IMAGING BRAIN ABNORMAL	10083130	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	MECHANICAL VENTILATION	10067221	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	MEDICAL INDUCTION OF COMA	10070677	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	PYREXIA	10037660	2
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	RENAL FAILURE	10038435	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	RESPIRATORY ARREST	10038669	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	SEIZURE	10039906	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP	URINE ANALYSIS	10046614	1
Total	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE	DTAP			28
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    	DTAPIPV	CARDIAC ARREST	10007515	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    	DTAPIPV	CENTRAL VENOUS CATHETERISATION	10053377	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    	DTAPIPV	COMA SCALE ABNORMAL	10069709	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    	DTAPIPV	CYANOSIS	10011703	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    	DTAPIPV	DEATH	10011906	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    	DTAPIPV	RESUSCITATION	10038749	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    	DTAPIPV	UNRESPONSIVE TO STIMULI	10045555	1
Total	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    	DTAPIPV			7
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	ANAPHYLACTOID REACTION	10002216	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	AUTOPSY	10050117	3
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	BLOOD TEST	10061726	1
